This file was created using the 201904 Bloomberg database.,,,,,,,,,,,
,,,,,,,,,,,
Missing data are indicated by -99.99.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Mkt-RF,SMB,HML,RMW,CMA,RF,Mkt-RF_log,SMB_log,HML_log,RMW_log,CMA_log
19910322,0.43,-0.15,-0.55,0.51,0.3,0.02,0.429078142,-0.150112613,-0.551518069,0.508703905,0.299550898
19910325,-1.29,-0.24,0.26,-0.33,-0.47,0.02,-1.298392756,-0.240288462,0.259662585,-0.330545701,-0.471107973
19910326,-0.14,0.57,-0.18,0.39,0.08,0.02,-0.140098092,0.568381647,-0.180162195,0.389241472,0.079968017
19910327,-0.96,0.34,0.31,0.21,-0.26,0.02,-0.964637705,0.339423307,0.309520491,0.209779808,-0.260338587
19910328,-0.86,0.67,0.5,0.16,-0.17,0.02,-0.86371934,0.667765475,0.498754151,0.159872136,-0.170144664
19910329,0.76,0.37,0.41,0.51,0.27,0.02,0.75712655,0.369317184,0.40916179,0.508703905,0.269636155
19910401,-0.29,0.7,0.41,0,-0.05,0.02,-0.290421315,0.697561374,0.40916179,0,-0.050012504
19910402,2.12,-0.47,-0.45,0.1,0.3,0.02,2.097840639,-0.471107973,-0.451015548,0.099950033,0.299550898
19910403,2.13,-0.08,-0.01,-0.09,-0.3,0.02,2.10763256,-0.080032017,-0.0100005,-0.090040524,-0.300450902
19910404,1.07,0.36,0.36,-0.03,-0.04,0.02,1.06431601,0.359353551,0.359353551,-0.030004501,-0.040008002
19910405,-0.26,0.63,-0.15,-0.11,-0.11,0.02,-0.260338587,0.628023796,-0.150112613,-0.110060544,-0.110060544
19910408,-0.62,0.69,0.09,-0.39,-0.17,0.02,-0.621929981,0.687630394,0.089959524,-0.390762483,-0.170144664
19910409,0.52,0.86,-0.19,0.02,0.3,0.02,0.518652669,0.856323066,-0.190180729,0.019998,0.299550898
19910410,-0.99,0.23,-0.11,0.21,-0.03,0.02,-0.994933085,0.229735905,-0.110060544,0.209779808,-0.030004501
19910411,0.33,-0.22,-0.02,0.04,0.07,0.02,0.329456695,-0.220242356,-0.020002,0.039992002,0.069975511
19910412,0.66,-0.25,0.22,-0.15,-0.06,0.02,0.657831536,-0.250313022,0.219758354,-0.150112613,-0.060018007
19910415,1.73,-0.05,0.03,0.32,0.04,0.02,1.715205882,-0.050012504,0.029995501,0.31948909,0.039992002
19910416,0.04,-0.03,0.19,0.12,0.31,0.02,0.039992002,-0.030004501,0.189819728,0.119928058,0.309520491
19910417,-0.63,0.3,0.53,-0.01,-0.36,0.02,-0.631992874,0.299550898,0.528600443,-0.0100005,-0.360649559
19910418,-1.19,0.06,0.45,-0.06,0.17,0.02,-1.197137178,0.059982007,0.448990527,-0.060018007,0.169855664
19910419,-1.86,0.38,0.38,0.2,-0.07,0.02,-1.877515533,0.379279824,0.379279824,0.199800266,-0.070024511
19910422,-1.74,0.1,0.15,-0.1,-0.07,0.02,-1.755315925,0.099950033,0.149887612,-0.100050033,-0.070024511
19910423,1.34,-0.87,-0.4,-0.01,0.05,0.02,1.331101406,-0.873806594,-0.40080214,-0.0100005,0.049987504
19910424,-0.54,0.07,0.12,-0.3,0.14,0.02,-0.54146327,0.069975511,0.119928058,-0.300450902,0.139902091
