This file was created by CMPT_ME_BEME_OP_INV_RETS_DAILY using the 201904 CRSP database.,,,,,,,,,,,
The 1-month TBill return is from Ibbotson and Associates, Inc.,,,,,,,,,,
,Mkt-RF_simple,SMB_simple,HML_simple,RMW_simple,CMA_simple,RF,Mkt-RF_log,SMB_log,HML_log,RMW_log,CMA_log
19640323,0.01,0.35,-0.07,0.13,0.02,0.015,0.0099995,0.349388925,-0.070024511,0.129915573,0.019998
19640324,-0.18,0.14,0.3,-0.12,0.3,0.015,-0.180162195,0.139902091,0.299550898,-0.120072058,0.299550898
19640325,0.24,0.26,0.6,-0.31,0.16,0.015,0.23971246,0.259662585,0.598207168,-0.310481495,0.159872136
19640326,0.26,0.19,0.66,-0.2,0.33,0.015,0.259662585,0.189819728,0.657831536,-0.200200267,0.329456695
19640330,-0.1,0.05,0.06,-0.11,0.46,0.015,-0.100050033,0.049987504,0.059982007,-0.110060544,0.458945233
19640331,-0.19,0.19,-0.3,-0.03,0.09,0.015,-0.190180729,0.189819728,-0.300450902,-0.030004501,0.089959524
19640401,0.34,0.25,0.65,-0.05,0.04,0.013,0.339423307,0.24968802,0.64789661,-0.050012504,0.039992002
19640402,0.57,-0.03,0.29,0.27,0.33,0.013,0.568381647,-0.030004501,0.289580311,0.269636155,0.329456695
19640403,0.22,0,-0.41,0.13,-0.09,0.013,0.219758354,0,-0.410842804,0.129915573,-0.090040524
19640406,0.07,0.11,0.28,-0.43,0.02,0.013,0.069975511,0.109939544,0.27960873,-0.430927159,0.019998
19640407,-0.34,0.22,-0.44,-0.13,-0.27,0.013,-0.340579313,0.219758354,-0.440970849,-0.130084573,-0.270365157
19640408,0.01,0.39,0.17,0.06,0,0.013,0.0099995,0.389241472,0.169855664,0.059982007,0
19640409,0,0.12,-0.16,0.15,0.04,0.013,0,0.119928058,-0.160128137,0.149887612,0.039992002
19640410,0.19,0.05,0.1,-0.13,-0.16,0.013,0.189819728,0.049987504,0.099950033,-0.130084573,-0.160128137
19640413,-0.08,-0.08,-0.21,-0.05,0.23,0.013,-0.080032017,-0.080032017,-0.210220809,-0.050012504,0.229735905
19640414,0.19,-0.2,-0.13,0.39,-0.18,0.013,0.189819728,-0.200200267,-0.130084573,0.389241472,-0.180162195
19640415,0.11,-0.17,-0.56,-0.2,0.24,0.013,0.109939544,-0.170144664,-0.561573879,-0.200200267,0.23971246
19640416,0.08,-0.15,-0.07,-0.2,-0.01,0.013,0.079968017,-0.150112613,-0.070024511,-0.200200267,-0.0100005
19640417,0.38,-0.21,0.27,0.2,0,0.013,0.379279824,-0.210220809,0.269636155,0.199800266,0
19640420,-0.07,-0.21,-0.17,0.03,-0.04,0.013,-0.070024511,-0.210220809,-0.170144664,0.029995501,-0.040008002
19640421,-0.01,-0.21,-0.1,-0.01,-0.43,0.013,-0.0100005,-0.210220809,-0.100050033,-0.0100005,-0.430927159
19640422,-0.05,-0.2,0.21,-0.35,-0.21,0.013,-0.050012504,-0.200200267,0.209779808,-0.350613933,-0.210220809
19640423,-0.16,-0.4,-0.03,-0.4,0.05,0.013,-0.160128137,-0.40080214,-0.030004501,-0.40080214,0.049987504
19640424,-0.77,-0.17,-0.41,0.24,-0.21,0.013,-0.772979806,-0.170144664,-0.410842804,0.23971246,-0.210220809
19640427,-0.54,-0.03,0.22,-0.3,0.07,0.013,-0.54146327,-0.030004501,0.219758354,-0.300450902,0.069975511
19640428,0.64,-0.15,0.77,-0.26,-0.08,0.013,0.637960696,-0.150112613,0.76705063,-0.260338587,-0.080032017
19640429,-0.4,-0.21,-0.7,-0.13,-0.46,0.013,-0.40080214,-0.210220809,-0.702461494,-0.130084573,-0.461061256
